"variable","gene_name","coef"
"(Intercept)",NA,-1.28364490902744
"RenormalizedAge",NA,-0.445665052700161
"RenormalizedGender",NA,-0.0295687000010807
"ENSG00000006016","CRLF1",-0.136978082454047
"ENSG00000067445","TRO",0.388933135221174
"ENSG00000099139","PCSK5",0.0333988268055341
"ENSG00000102265","TIMP1",-0.288698588639294
"ENSG00000105371","ICAM4",-0.136911781059156
"ENSG00000126709","IFI6",0.757530356237839
"ENSG00000130032","PRRG3",0.00249816946016931
"ENSG00000133316","WDR74",0.143929266145664
"ENSG00000136205","TNS3",-0.0521126676275449
"ENSG00000137959","IFI44L",0.013960142700368
"ENSG00000147689","FAM83A",0.0749647910051179
"ENSG00000148926","ADM",-0.0745942765157949
"ENSG00000161055","SCGB3A1",-0.0128573844599167
"ENSG00000163884","KLF15",-0.0425825213908588
"ENSG00000165949","IFI27",0.00408921676415683
"ENSG00000171401","KRT13",-0.0867745379642034
"ENSG00000185304","RGPD2",-0.223075087453588
"ENSG00000188215","DCUN1D3",-0.111943900460608
"ENSG00000198788","MUC2",-0.0329025068060285
"ENSG00000204544","MUC21",-0.0361366432488835
"ENSG00000206172","HBA1",-0.00875980791843082
"ENSG00000254709","IGLL5",0.0367474128028704
"ENSG00000257341","AL928654.3",-0.127871127540017
"ENSG00000258555","SPECC1L-ADORA2A",-0.0598514525538053
